submitted_id	current_id	converted_id	current_symbol
CG3297	FBgn0002778	FBgn0002778	mnd
CG4317	FBgn0026060	FBgn0026060	Mipp2
CG4374	FBgn0039078	FBgn0039078	CG4374
CG4538	FBgn0038745	FBgn0038745	CG4538
CG4538	FBgn0078249	FBgn0078249	Dpse\GA18242
CG9042	FBgn0001128	FBgn0001128	Gpdh1
CG13249	FBgn0052428	FBgn0052428	CG32428
CG14777	FBgn0026872	FBgn0026872	CG14777
CG14971	FBgn0035449	FBgn0035449	CG14971
CG6190	FBgn0061469	FBgn0061469	Ube3a
CG15345	FBgn0040928	FBgn0040928	CR15345
CG4281	FBgn0025626	FBgn0025626	CG4281
CG8831	FBgn0033737	FBgn0033737	Nup54
CG4953	FBgn0032204	FBgn0032204	CG4953
CG10242	FBgn0033978	FBgn0033978	Cyp6a23
CG12104	FBgn0035238	FBgn0035238	CG12104
CG13847	FBgn0038967	FBgn0038967	CG13847
CG10346	FBgn0032705	FBgn0032705	Grip71
CG3061	FBgn0038195	FBgn0038195	CG3061
CG9415	FBgn0021872	FBgn0021872	Xbp1
CG6169	FBgn0036534	FBgn0036534	DCP2
CG13943	FBgn0040748	FBgn0040748	CG13943
CG12567	FBgn0039958	FBgn0039958	CG12567
CG13089	FBgn0032052	FBgn0032052	PIG-U
CG17202	FBgn0038043	FBgn0038043	CG17202
CG8224	FBgn0011300	FBgn0011300	babo
CG4180	FBgn0001977	FBgn0001977	CIAPIN1
CG13690	FBgn0031252	FBgn0031252	CG13690
CG5739	FBgn0085188	FBgn0085188	CG34159
CG9520	FBgn0032078	FBgn0032078	C1GalTA
CG3838	FBgn0032130	FBgn0032130	brwl
CG12342	FBgn0086898	FBgn0086898	dgo
CG5805	FBgn0039223	FBgn0039223	CG5805
CG9171	FBgn0031738	FBgn0031738	CG9171
CG7734	FBgn0003396	FBgn0003396	shn
CG13890	FBgn0035169	FBgn0035169	Dci
CG17223	FBgn0031491	FBgn0031491	alpha4GT1
CG2845	FBgn0003079	FBgn0003079	Raf
CG2556	FBgn0030396	FBgn0030396	CG2556
CG2556	FBgn0068689	FBgn0068689	Dsim\GD17083
CG5955	FBgn0036997	FBgn0036997	CG5955
CG6144	FBgn0032259	FBgn0032259	CG6144
CG4126	FBgn0050389	FBgn0050389	CG30389
CG10128	FBgn0003742	FBgn0003742	tra2
CG5659	FBgn0017418	FBgn0017418	ari-1
CG17753	FBgn0010531	FBgn0010531	Ccs
CG3747	FBgn0026439	FBgn0026439	Eaat1
CG12007	FBgn0037293	FBgn0037293	CG12007
CG5086	FBgn0052767	FBgn0052767	CG32767
CG7871	FBgn0052557	FBgn0052557	Mco4
CG7871	FBgn0052554	FBgn0052554	CG32554
CG13848	FBgn0038966	FBgn0038966	pinta
CG10543	FBgn0034570	FBgn0034570	CG10543
CG6072	FBgn0086370	FBgn0086370	sra
CG15489	FBgn0085424	FBgn0085424	nub
CG14504	FBgn0040738	FBgn0040738	CG14504
CG13718	FBgn0260657	FBgn0260657	CG42540
CG3922	FBgn0005533	FBgn0005533	RpS17
CG9243	FBgn0263050	FBgn0263050	CG43345
CG9243	FBgn0263051	FBgn0263051	CG43346
CG5055	FBgn0000163	FBgn0000163	baz
CG13503	FBgn0243516	FBgn0243516	Vrp1
CG3735	FBgn0034933	FBgn0034933	CG3735
CG10798	FBgn0262656	FBgn0262656	Myc
CG3305	FBgn0032949	FBgn0032949	Lamp1
CG7736	FBgn0037084	FBgn0037084	Syx6
CG5740	FBgn0259736	FBgn0259736	CG42390
CG1832	FBgn0032979	FBgn0032979	Clamp
CG5151	FBgn0036576	FBgn0036576	CG5151
CG8548	FBgn0024889	FBgn0024889	Kap-alpha1
CG8952	FBgn0030688	FBgn0030688	CG8952
CG5118	FBgn0031317	FBgn0031317	Charon
CG7609	FBgn0027518	FBgn0027518	Wdr24
CG2950	FBgn0031637	FBgn0031637	mxt
CG12690	FBgn0029504	FBgn0029504	CHES-1-like
CG2604	FBgn0037298	FBgn0037298	Sccpdh1
CG2604	FBgn0191129	FBgn0191129	Dsim\GD19638
CG2945	FBgn0000316	FBgn0000316	cin
CG8056	FBgn0052179	FBgn0052179	Krn
CG8056	FBgn0052177	FBgn0052177	Ndfip
CG12019	FBgn0011573	FBgn0011573	Cdc37
CG6091	FBgn0036180	FBgn0036180	Duba
CG18131	FBgn0031343	FBgn0031343	CG18131
CG14023	FBgn0031698	FBgn0031698	Ncoa6
CG12305	FBgn0050089	FBgn0050089	CG30089
CG5186	FBgn0261477	FBgn0261477	slim
CG5969	FBgn0036998	FBgn0036998	CG5969
CG14194	FBgn0030996	FBgn0030996	CG14194
CG16785	FBgn0027343	FBgn0027343	fz3
CG2924	FBgn0023528	FBgn0023528	CG2924
CG9638	FBgn0037555	FBgn0037555	Ada2b
CG11296	FBgn0016053	FBgn0016053	pgc
CG15715	FBgn0036538	FBgn0036538	CG15715
CG2022	FBgn0037292	FBgn0037292	plh
CG15160	FBgn0032688	FBgn0032688	CG15160
CG6016	FBgn0033844	FBgn0033844	bbc
CG1262	FBgn0020509	FBgn0020509	Acp62F
CG9038	FBgn0026076	FBgn0026076	UBL3
CG4699	FBgn0262527	FBgn0262527	nsl1
CG9821	FBgn0286516	FBgn0286516	aqz
CG13666	FBgn0035882	FBgn0035882	CG13666
CG15322	FBgn0031088	FBgn0031088	CG15322
CG7613	FBgn0259178	FBgn0259178	5PtaseI
CG5060	FBgn0262582	FBgn0262582	cic
CG12404	FBgn0032465	FBgn0032465	Yip1d1
CG9536	FBgn0031818	FBgn0031818	CG9536
CG11202	FBgn0021767	FBgn0021767	org-1
CG10563	FBgn0086445	FBgn0086445	l(2)37Cd
CG13222	FBgn0033602	FBgn0033602	Cpr47Ee
CG1365	FBgn0000276	FBgn0000276	CecA1
CG5940	FBgn0000404	FBgn0000404	CycA
CG14849	FBgn0285955	FBgn0285955	cv-c
CG3878	FBgn0261573	FBgn0261573	CoRest
CG14951	FBgn0052296	FBgn0052296	Mrtf
CG4843	FBgn0004117	FBgn0004117	Tm2
CG4193	FBgn0011761	FBgn0011761	dhd
CG1943	FBgn0037468	FBgn0037468	CG1943
CG14249	FBgn0250908	FBgn0250908	beat-VII
CG10423	FBgn0039300	FBgn0039300	RpS27
CG2116	FBgn0030003	FBgn0030003	CG2116
CG8195	FBgn0034032	FBgn0034032	CG8195
CG14411	FBgn0030582	FBgn0030582	CG14411
CG14411	FBgn0084946	FBgn0084946	Dsim\GD17180
CG13377	FBgn0261446	FBgn0261446	CG13377
CG9127	FBgn0000052	FBgn0000052	Pfas
CG1716	FBgn0030486	FBgn0030486	Set2
CG8732	FBgn0263120	FBgn0263120	Acsl
CG7597	FBgn0037093	FBgn0037093	Cdk12
CG3437	FBgn0035998	FBgn0035998	CG3437
CG5362	FBgn0262782	FBgn0262782	Mdh1
CG3733	FBgn0250786	FBgn0250786	Chd1
CG7524	FBgn0262733	FBgn0262733	Src64B
CG14496	FBgn0085415	FBgn0085415	CG34386
CG17443	FBgn0087011	FBgn0087011	CG41520
CG6318	FBgn0030931	FBgn0030931	Xrcc2
CG5231	FBgn0029158	FBgn0029158	Las
CG7042	FBgn0083976	FBgn0083976	CG34140
CG7042	FBgn0083992	FBgn0083992	Mkp
CG5634	FBgn0039528	FBgn0039528	dsd
CG11518	FBgn0043900	FBgn0043900	pygo
CG8715	FBgn0020279	FBgn0020279	lig
CG10480	FBgn0002638	FBgn0002638	Rcc1
CG8725	FBgn0027054	FBgn0027054	CSN4
CG12881	FBgn0266579	FBgn0266579	tau
CG8487	FBgn0264560	FBgn0264560	garz
CG14981	FBgn0035473	FBgn0035473	mge
CG8821	FBgn0033748	FBgn0033748	vis
CG4087	FBgn0002593	FBgn0002593	RpLP1
CG7087	FBgn0051163	FBgn0051163	SKIP
CG12731	FBgn0029768	FBgn0029768	SPR
CG12237	FBgn0031048	FBgn0031048	CG12237
CG8240	FBgn0026375	FBgn0026375	RhoGAPp190
CG17771	FBgn0015360	FBgn0015360	oxt
CG9883	FBgn0031435	FBgn0031435	Elba2
CG3045	FBgn0034703	FBgn0034703	CG3045
CG12387	FBgn0011556	FBgn0011556	zetaTry
CG12744	FBgn0033459	FBgn0033459	CG12744
CG8786	FBgn0036897	FBgn0036897	Rnf146
CG15607	FBgn0050460	FBgn0050460	CG30460
CG9855	FBgn0037242	FBgn0037242	CG9855
CG2245	FBgn0261479	FBgn0261479	nero
CG8378	FBgn0027495	FBgn0027495	Smyd4-4
CG8026	FBgn0033391	FBgn0033391	CG8026
CG9986	FBgn0039589	FBgn0039589	CG9986
CG4768	FBgn0030790	FBgn0030790	CG4768
CG9575	FBgn0031090	FBgn0031090	Rab35
CG3558	FBgn0025681	FBgn0025681	CG3558
CG10237	FBgn0032783	FBgn0032783	CG10237
CG11309	FBgn0037070	FBgn0037070	CG11309
CG6056	FBgn0043012	FBgn0043012	AP-2sigma
CG2086	FBgn0027594	FBgn0027594	drpr
CG7216	FBgn0014454	FBgn0014454	Acp1
CG12714	FBgn0263005	FBgn0263005	CG43313
CG11744	FBgn0051450	FBgn0051450	mRpS18A
CG11744	FBgn0051453	FBgn0051453	pch2
CG8580	FBgn0082598	FBgn0082598	akirin
CG3125	FBgn0261383	FBgn0261383	IntS6
CG13994	FBgn0031772	FBgn0031772	CG13994
CG18005	FBgn0037660	FBgn0037660	beag
CG11984	FBgn0037655	FBgn0037655	Kcmf1
CG16751	FBgn0263750	FBgn0263750	CG43675
CG16751	FBgn0266410	FBgn0266410	CG45050
CG13260	FBgn0259735	FBgn0259735	mtgo
CG12945	FBgn0037755	FBgn0037755	CG12945
CG13234	FBgn0040768	FBgn0040768	CG13234
CG14788	FBgn0266284	FBgn0266284	Ns3
CG2267	FBgn0039792	FBgn0039792	CG2267
CG1099	FBgn0023388	FBgn0023388	Dap160
CG13216	FBgn0033591	FBgn0033591	CG13216
CG15356	FBgn0031377	FBgn0031377	CG15356
CG15509	FBgn0001297	FBgn0001297	kay
CG10433	FBgn0034638	FBgn0034638	CG10433
CG10327	FBgn0025790	FBgn0025790	TBPH
CG3566	FBgn0029854	FBgn0029854	CG3566
CG18355	FBgn0003502	FBgn0003502	Btk29A
CG1333	FBgn0261274	FBgn0261274	Ero1L
CG3762	FBgn0263598	FBgn0263598	Vha68-2
CG7483	FBgn0037573	FBgn0037573	CG7483
CG14687	FBgn0037835	FBgn0037835	CG14687
CG15566	FBgn0085376	FBgn0085376	CG34347
CG5096	FBgn0032235	FBgn0032235	CG5096
CG16970	FBgn0264308	FBgn0264308	CG43778
CG9905	FBgn0051992	FBgn0051992	gw
CG12054	FBgn0039831	FBgn0039831	CG12054
CG12207	FBgn0285913	FBgn0285913	red
CG4920	FBgn0000533	FBgn0000533	ea
CG10309	FBgn0038418	FBgn0038418	pad
CG11109	FBgn0037200	FBgn0037200	CG11109
CG3680	FBgn0037027	FBgn0037027	HIPP1
CG18622	FBgn0038460	FBgn0038460	CG18622
CG15282	FBgn0028855	FBgn0028855	CG15282
CG5756	FBgn0034301	FBgn0034301	CG5756
CG4059	FBgn0001078	FBgn0001078	ftz-f1
CG9399	FBgn0037715	FBgn0037715	CG9399
CG14232	FBgn0031061	FBgn0031061	CG14232
CG3460	FBgn0023542	FBgn0023542	Nmd3
CG10701	FBgn0011661	FBgn0011661	Moe
CG12794	FBgn0028583	FBgn0028583	lcs
CG8005	FBgn0035854	FBgn0035854	CG8005
CG18802	FBgn0011740	FBgn0011740	alpha-Man-IIa
CG18028	FBgn0002566	FBgn0002566	lt
CG6720	FBgn0015320	FBgn0015320	Ubc2
CG1937	FBgn0039875	FBgn0039875	sip3
CG17420	FBgn0028697	FBgn0028697	RpL15
CG4925	FBgn0036614	FBgn0036614	Golgin104
CG3947	FBgn0037019	FBgn0037019	Pex16
CG9438	FBgn0000473	FBgn0000473	Cyp6a2
CG9889	FBgn0041712	FBgn0041712	yellow-d
CG7955	FBgn0035244	FBgn0035244	ABCB7
CG4606	FBgn0026616	FBgn0026616	alpha-Man-IIb
CG4427	FBgn0043364	FBgn0043364	cbt
CG11284	FBgn0030056	FBgn0030056	CAH3
CG9364	FBgn0003748	FBgn0003748	Treh
CG1074	FBgn0037250	FBgn0037250	CG1074
CG4143	FBgn0262732	FBgn0262732	mbf1
CG1121	FBgn0015576	FBgn0015576	alpha-Est8
CG14207	FBgn0031037	FBgn0031037	CG14207
CG18279	FBgn0283462	FBgn0283462	IMPPP
CG3075	FBgn0029905	FBgn0029905	Nf-YC
CG11986	FBgn0037656	FBgn0037656	CG11986
CG17363	FBgn0036392	FBgn0036392	CG17363
CG14494	FBgn0040740	FBgn0040740	CG14494
CG12956	FBgn0259878	FBgn0259878	Fs
CG9874	FBgn0003687	FBgn0003687	Tbp
CG13773	FBgn0042092	FBgn0042092	CG13773
CG6701	FBgn0033889	FBgn0033889	CG6701
CG9468	FBgn0032069	FBgn0032069	LManVI
CG17952	FBgn0034657	FBgn0034657	LBR
CG15315	FBgn0040933	FBgn0040933	CG15315
CG9552	FBgn0011705	FBgn0011705	rost
CG7861	FBgn0033055	FBgn0033055	Tbce
CG1877	FBgn0015509	FBgn0015509	Cul1
CG1670	FBgn0031110	FBgn0031110	Obp19b
CG2048	FBgn0002413	FBgn0002413	dco
CG15494	FBgn0265298	FBgn0265298	SC35
CG16975	FBgn0032475	FBgn0032475	Sfmbt
CG9026	FBgn0082585	FBgn0082585	sprt
CG9026	FBgn0050022	FBgn0050022	CG30022
CG6017	FBgn0259824	FBgn0259824	Hip14
CG2009	FBgn0026262	FBgn0026262	bip2
CG6319	FBgn0262475	FBgn0262475	bru2
CG6319	FBgn0000114	FBgn0000114	bru1
CG5864	FBgn0039132	FBgn0039132	AP-1sigma
CG3632	FBgn0030735	FBgn0030735	CG3632
CG15015	FBgn0035533	FBgn0035533	Cip4
CG9437	FBgn0034599	FBgn0034599	hng1
CG8114	FBgn0003041	FBgn0003041	pbl
CG13005	FBgn0030794	FBgn0030794	CG13005
CG4879	FBgn0027375	FBgn0027375	RecQ5
CG4258	FBgn0020305	FBgn0020305	dbe
CG7048	FBgn0038976	FBgn0038976	Pfdn5
CG11750	FBgn0030294	FBgn0030294	Pa1
CG5520	FBgn0039562	FBgn0039562	Gp93
CG5547	FBgn0032482	FBgn0032482	Pect
CG11589	FBgn0028664	FBgn0028664	VhaM9.7-c
CG3525	FBgn0000536	FBgn0000536	eas
CG12291	FBgn0032330	FBgn0032330	Samuel
CG8668	FBgn0031988	FBgn0031988	CG8668
CG8211	FBgn0030858	FBgn0030858	IntS2
CG10385	FBgn0005617	FBgn0005617	msl-1
CG4119	FBgn0028474	FBgn0028474	CG4119
CG5789	FBgn0039207	FBgn0039207	CG5789
CG9050	FBgn0086265	FBgn0086265	psd
CG7627	FBgn0032026	FBgn0032026	CG7627
CG6359	FBgn0038065	FBgn0038065	Snx3
CG7800	FBgn0037552	FBgn0037552	CG7800
CG14478	FBgn0028953	FBgn0028953	CG14478
CG9152	FBgn0031681	FBgn0031681	Pgant5
CG12190	FBgn0034763	FBgn0034763	RYBP
CG6285	FBgn0000567	FBgn0000567	Eip74EF
CG5494	FBgn0038819	FBgn0038819	Cpr92F
CG1726	FBgn0052521	FBgn0052521	CG32521
CG17779	FBgn0263220	FBgn0263220	Hk
CG11194	FBgn0027788	FBgn0027788	Hey
CG13938	FBgn0040692	FBgn0040692	CG13938
CG1344	FBgn0027507	FBgn0027507	CG1344
CG3054	FBgn0022153	FBgn0022153	l(2)k05819
CG9414	FBgn0028406	FBgn0028406	Drep4
CG12576	FBgn0031190	FBgn0031190	CG12576
CG16745	FBgn0266918	FBgn0266918	CG32486
CG18435	FBgn0263995	FBgn0263995	cpo
CG11115	FBgn0037202	FBgn0037202	Ssl1
CG11737	FBgn0037592	FBgn0037592	CG11737
CG14711	FBgn0037922	FBgn0037922	CG14711
CG9426	FBgn0032485	FBgn0032485	CG9426
CG6538	FBgn0010421	FBgn0010421	TfIIFbeta
CG6801	FBgn0011335	FBgn0011335	vers
CG9523	FBgn0263278	FBgn0263278	Fic
CG4558	FBgn0029914	FBgn0029914	CG4558
CG4558	FBgn0196081	FBgn0196081	Dsim\GD24760
CG3704	FBgn0040346	FBgn0040346	CG3704
CG5557	FBgn0010768	FBgn0010768	sqz
CG14847	FBgn0285955	FBgn0285955	cv-c
CG1643	FBgn0029943	FBgn0029943	Atg5
CG14148	FBgn0040821	FBgn0040821	CG14148
CG4026	FBgn0032147	FBgn0032147	IP3K1
CG1107	FBgn0037218	FBgn0037218	aux
CG5637	FBgn0002962	FBgn0002962	nos
CG3711	FBgn0040344	FBgn0040344	Lztr1
CG7625	FBgn0028663	FBgn0028663	VhaM9.7-b
CG6684	FBgn0086472	FBgn0086472	RpS25
CG1359	FBgn0260860	FBgn0260860	Bet5
CG4390	FBgn0038771	FBgn0038771	CG4390
CG6093	FBgn0000018	FBgn0000018	abo
CG13894	FBgn0035157	FBgn0035157	CG13894
CG7110	FBgn0032521	FBgn0032521	CG7110
CG10255	FBgn0033984	FBgn0033984	Lap1
CG6928	FBgn0036240	FBgn0036240	CG6928
CG6500	FBgn0265598	FBgn0265598	Bx
CG6556	FBgn0286070	FBgn0286070	cnk
CG12403	FBgn0265262	FBgn0265262	Vha68-1
CG8118	FBgn0002643	FBgn0002643	mam
CG12963	FBgn0034031	FBgn0034031	CG12963
CG11210	FBgn0033259	FBgn0033259	Tmem63
CG5669	FBgn0039169	FBgn0039169	Spps
CG5669	FBgn0085065	FBgn0085065	Dsim\GD18309
CG11861	FBgn0261268	FBgn0261268	Cul3
CG11861	FBgn0261267	FBgn0261267	CG42615
CG4608	FBgn0014135	FBgn0014135	bnl
CG7332	FBgn0030973	FBgn0030973	CG7332
CG8173	FBgn0030864	FBgn0030864	CG8173
CG2911	FBgn0037350	FBgn0037350	CG2911
CG2911	FBgn0084076	FBgn0084076	Dsim\GD19598
CG7911	FBgn0039735	FBgn0039735	Nph
CG5463	FBgn0039153	FBgn0039153	GatB
CG3874	FBgn0042641	FBgn0042641	frc
CG5912	FBgn0000119	FBgn0000119	arr
CG17304	FBgn0266756	FBgn0266756	btsz
CG4089	FBgn0037838	FBgn0037838	TTLL15
CG4345	FBgn0015946	FBgn0015946	grim
CG7943	FBgn0039741	FBgn0039741	CG7943
CG11811	FBgn0036099	FBgn0036099	CG11811
CG9922	FBgn0038196	FBgn0038196	CG9922
CG5196	FBgn0038039	FBgn0038039	CG5196
CG9849	FBgn0034803	FBgn0034803	CG9849
CG8281	FBgn0035824	FBgn0035824	CG8281
CG13117	FBgn0032140	FBgn0032140	CG13117
CG6155	FBgn0014877	FBgn0014877	Roe1
CG11055	FBgn0034491	FBgn0034491	Hsl
CG11055	FBgn0082756	FBgn0082756	Dsim\GD11499
CG11563	FBgn0039868	FBgn0039868	CG11563
CG7670	FBgn0038608	FBgn0038608	WRNexo
CG15603	FBgn0259110	FBgn0259110	mmd
CG9059	FBgn0266354	FBgn0266354	CG45002
CG7086	FBgn0051163	FBgn0051163	SKIP
CG3495	FBgn0267823	FBgn0267823	Gmer
CG8029	FBgn0262515	FBgn0262515	VhaAC45
CG8282	FBgn0032005	FBgn0032005	Snx6
CG14181	FBgn0035965	FBgn0035965	Use1
CG11494	FBgn0263108	FBgn0263108	BtbVII
CG4840	FBgn0086757	FBgn0086757	cbs
CG2287	FBgn0263220	FBgn0263220	Hk
CG8963	FBgn0034181	FBgn0034181	CG8963
CG7863	FBgn0033051	FBgn0033051	Strica
CG15916	FBgn0030704	FBgn0030704	CG15916
CG12443	FBgn0033652	FBgn0033652	ths
CG8606	FBgn0035761	FBgn0035761	RhoGEF4
CG10383	FBgn0032699	FBgn0032699	CG10383
CG5734	FBgn0032191	FBgn0032191	CG5734
CG10159	FBgn0015602	FBgn0015602	BEAF-32
CG2257	FBgn0029996	FBgn0029996	UbcE2H
CG2257	FBgn0085116	FBgn0085116	Dsim\GD16131
CG10911	FBgn0034295	FBgn0034295	CG10911
CG4035	FBgn0015218	FBgn0015218	eIF4E1
CG9212	FBgn0030724	FBgn0030724	Nipsnap
CG10695	FBgn0029878	FBgn0029878	Pat1
CG8258	FBgn0284436	FBgn0284436	CCT8
CG4824	FBgn0000182	FBgn0000182	BicC
CG1031	FBgn0015568	FBgn0015568	alpha-Est1
CG5828	FBgn0031682	FBgn0031682	CG5828
CG1702	FBgn0031117	FBgn0031117	GstT3
CG9164	FBgn0030634	FBgn0030634	CG9164
CG14066	FBgn0261618	FBgn0261618	larp
CG8273	FBgn0037716	FBgn0037716	Son
CG14432	FBgn0029919	FBgn0029919	CG14432
CG5146	FBgn0035617	FBgn0035617	l(3)psg2
CG2103	FBgn0035375	FBgn0035375	Pgant6
CG11583	FBgn0035524	FBgn0035524	CG11583
CG9887	FBgn0031424	FBgn0031424	VGlut
CG8798	FBgn0036892	FBgn0036892	Lon
CG4233	FBgn0001125	FBgn0001125	Got2
CG7794	FBgn0038565	FBgn0038565	CG7794
CG15286	FBgn0028531	FBgn0028531	CG15286
CG14544	FBgn0039407	FBgn0039407	CG14544
CG9559	FBgn0000719	FBgn0000719	fog
CG10115	FBgn0261934	FBgn0261934	dikar
CG10977	FBgn0053523	FBgn0053523	CG33523
CG10949	FBgn0032858	FBgn0032858	CG10949
CG8833	FBgn0036386	FBgn0036386	CG8833
CG3265	FBgn0027066	FBgn0027066	Eb1
CG1167	FBgn0003206	FBgn0003206	Ras64B
CG15515	FBgn0039719	FBgn0039719	CG15515
