	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	15.38	19.38	43.78	34.15	41.82	43.95	20.64	25.63	24.67	34.30	24.90	24.19	50.40	15.28
"FBgn0000008"	6.37	8.01	10.48	6.92	8.13	6.99	2.89	1.65	2.43	4.11	3.47	3.63	5.30	7.42	9.08
"FBgn0000014"	0.00	0.00	0.02	0.01	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	10.06	17.69	23.00	4.86	7.12	2.95	30.19	18.35	26.46	7.09	5.39	6.01	8.38	10.85	17.07
"FBgn0000018"	22.17	22.11	19.93	28.36	27.44	26.90	15.89	15.88	16.65	25.82	21.39	26.19	32.41	30.39	26.10
"FBgn0000022"	0.74	0.61	0.24	0.72	0.79	0.77	1.02	0.48	0.95	1.45	0.63	1.46	3.60	1.00	1.56
"FBgn0000024"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.01
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	154.50	156.17	148.17	164.48	169.28	164.38	144.39	130.92	136.01	166.60	150.86	159.64	161.70	154.01	157.81
"FBgn0000036"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	0.02	0.00	0.05	0.00	0.00	0.06	0.03	0.06	0.05	0.00	0.08	0.17	0.18	0.20
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	1349.49	1463.81	1580.46	1629.79	1616.55	1770.83	2479.87	2240.40	2397.93	1216.60	1352.17	1328.13	1392.23	1284.34	1540.68
"FBgn0000043"	201.01	196.01	213.14	231.45	232.32	243.22	336.82	312.46	313.77	198.61	204.25	192.50	218.53	187.22	227.75
"FBgn0000044"	0.18	0.11	0.08	0.34	0.03	0.00	0.04	0.05	0.00	0.00	0.00	0.12	0.12	0.09	0.36
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	0.03	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.05	0.00
"FBgn0000047"	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.04	0.00	0.00	0.00
"FBgn0000052"	16.53	19.73	23.57	18.73	18.18	19.17	5.40	3.60	5.62	11.00	11.03	12.32	12.58	15.41	15.80
"FBgn0000053"	24.27	22.79	26.37	31.68	30.27	30.56	29.64	30.34	28.42	19.28	30.32	28.92	10.62	11.21	11.32
"FBgn0000055"	255.70	233.56	181.59	318.08	299.24	333.86	25.92	20.04	23.10	414.34	378.41	331.22	539.86	586.74	359.75
"FBgn0000056"	0.77	0.45	0.22	0.57	0.78	0.55	0.59	0.32	0.31	1.18	1.20	1.42	0.80	1.43	1.04
"FBgn0000057"	33.55	37.04	36.89	41.64	39.23	41.01	24.58	19.92	24.82	29.63	32.36	34.46	34.91	36.68	35.92
"FBgn0000061"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000063"	43.22	44.75	39.71	49.51	53.26	52.44	6.47	4.25	7.23	41.32	37.81	44.57	47.77	46.91	48.99
"FBgn0000064"	135.37	177.45	175.67	147.92	144.85	160.06	217.62	234.71	225.57	154.03	162.42	135.99	132.22	144.59	148.63
"FBgn0000071"	0.00	0.08	0.04	0.47	0.85	4.49	0.15	0.00	0.05	0.09	0.05	0.13	0.05	0.00	0.03
"FBgn0000075"	0.00	0.00	0.00	0.00	0.03	0.04	0.08	0.00	0.04	0.04	0.12	0.07	0.08	0.04	0.06
"FBgn0000077"	55.30	56.19	47.23	61.13	62.83	64.27	35.32	31.69	28.93	61.73	58.11	60.15	67.17	66.05	55.88
"FBgn0000078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000079"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBgn0000083"	126.32	103.25	97.60	163.88	153.92	165.34	137.91	163.74	144.35	140.49	146.71	125.78	100.75	82.81	91.31
"FBgn0000084"	53.75	42.32	45.21	50.70	46.82	49.59	5.59	5.10	5.24	51.80	62.84	57.27	61.98	56.61	37.30
"FBgn0000092"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.06
"FBgn0000094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.49
"FBgn0000097"	19.24	25.77	31.38	20.07	24.32	20.74	19.98	13.97	19.39	15.17	12.72	15.37	18.72	19.88	29.77
"FBgn0000100"	2074.35	1882.59	1700.03	1485.19	1208.28	1689.79	2402.66	2873.67	2751.58	1792.64	2515.24	2483.89	1731.96	1762.73	1345.91
"FBgn0000108"	0.17	0.24	0.32	0.16	0.04	0.11	0.14	0.15	0.20	0.12	0.15	0.07	0.14	0.15	0.16
"FBgn0000109"	59.80	55.36	50.51	64.18	69.21	63.04	67.94	73.53	71.04	74.07	82.62	70.47	68.78	70.76	62.59
"FBgn0000114"	343.47	391.62	389.38	431.46	433.30	440.23	31.34	19.71	30.03	328.82	313.42	330.15	357.05	406.48	388.90
"FBgn0000115"	178.72	156.09	136.62	178.76	178.72	188.76	180.93	232.01	195.02	194.83	224.58	194.68	196.47	187.87	166.36
"FBgn0000116"	50.46	58.96	57.20	72.29	62.61	77.71	4.65	3.08	4.03	35.42	38.28	36.66	32.88	45.00	42.06
"FBgn0000117"	165.11	190.95	216.67	172.29	183.83	179.07	317.71	254.07	275.42	157.84	146.09	134.92	142.52	124.32	191.61
"FBgn0000119"	7.84	12.05	14.57	6.21	8.22	5.18	14.56	9.95	13.54	5.30	4.28	5.66	6.87	6.63	11.94
"FBgn0000120"	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.11	0.00
"FBgn0000121"	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.05	0.00
"FBgn0000137"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000139"	50.63	54.48	51.93	52.49	52.33	53.30	74.20	74.07	76.52	48.25	51.22	52.35	55.57	49.20	55.53
"FBgn0000140"	36.69	56.09	68.62	36.69	43.47	34.18	33.82	20.18	31.68	25.90	22.63	24.80	22.93	30.42	49.07
"FBgn0000146"	40.89	40.40	49.14	48.64	50.48	49.20	55.31	46.68	52.77	59.95	38.74	45.32	47.18	34.62	54.95
"FBgn0000147"	143.29	125.40	127.68	176.92	174.63	179.62	131.42	142.22	128.24	168.84	173.56	174.17	164.64	144.94	158.20
"FBgn0000150"	3892.87	3270.57	3040.56	3102.47	2817.86	3604.89	1922.86	2445.36	2372.66	4217.37	5333.18	4277.67	3736.13	3832.74	2280.16
"FBgn0000152"	17.66	17.97	19.09	22.93	21.34	22.22	8.42	7.09	9.12	17.00	20.22	21.68	16.93	15.26	18.13
"FBgn0000153"	0.07	0.11	0.16	0.14	0.16	0.17	0.07	0.18	0.30	0.20	0.37	0.21	0.07	0.17	0.02
"FBgn0000157"	0.00	0.00	0.00	0.00	0.05	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000158"	64.69	66.89	61.79	60.80	61.31	59.96	37.79	40.14	39.95	47.25	53.76	56.34	52.66	59.48	53.58
"FBgn0000163"	8.82	13.17	15.71	4.45	6.35	3.37	15.96	10.58	14.59	5.49	4.33	4.58	5.60	7.94	12.86
"FBgn0000166"	125.96	103.34	125.38	149.43	148.74	136.46	5.15	3.08	4.44	116.48	124.87	122.77	122.47	86.29	115.02
"FBgn0000173"	561.70	519.44	449.35	622.48	624.07	655.07	728.26	849.48	720.97	653.06	664.76	608.69	590.43	571.27	550.78
"FBgn0000179"	0.01	0.03	0.03	0.01	0.01	0.00	0.01	0.01	0.01	0.07	0.08	0.00	0.00	0.00	0.00
"FBgn0000180"	0.04	0.05	0.08	0.12	0.08	0.54	0.13	0.23	0.13	0.02	0.02	0.02	0.10	0.04	0.10
"FBgn0000181"	1548.24	1330.07	1217.71	1631.81	1519.10	1664.00	840.01	974.42	909.47	1657.90	1673.27	1625.58	1741.84	1712.13	1222.11
"FBgn0000182"	106.41	127.63	134.21	114.32	118.81	111.45	2.90	1.47	3.00	55.77	62.57	70.76	61.31	100.03	90.62
"FBgn0000183"	64.08	69.47	78.66	54.58	61.33	53.38	64.89	51.01	59.84	52.64	46.57	52.63	57.67	51.29	85.05
"FBgn0000206"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000212"	21.61	42.80	56.93	13.56	17.75	11.35	75.22	41.91	67.74	13.63	12.52	14.19	15.76	19.79	33.84
"FBgn0000216"	5.68	5.93	6.69	6.96	8.62	8.78	6.66	7.53	4.59	12.52	11.37	15.94	25.93	10.50	14.27
"FBgn0000221"	18.30	20.62	19.14	19.30	20.03	21.52	15.95	17.82	18.98	18.87	21.06	19.78	18.54	22.84	16.97
"FBgn0000227"	0.87	0.76	0.51	4.30	6.24	12.54	1.23	0.85	1.19	1.28	1.13	1.88	3.87	0.97	1.44
"FBgn0000228"	28.25	42.78	49.99	31.30	36.87	36.06	60.91	43.05	53.44	22.05	21.45	21.67	24.81	27.36	44.56
"FBgn0000229"	18.35	19.59	17.98	24.47	26.34	24.93	4.55	3.21	4.01	26.63	27.03	28.61	26.78	30.99	21.55
"FBgn0000233"	0.00	0.04	0.02	0.04	0.00	0.06	0.02	0.03	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBgn0000239"	139.39	153.70	157.65	133.54	146.18	130.25	191.82	158.18	174.22	118.78	104.83	117.68	125.58	115.64	168.28
"FBgn0000241"	0.12	0.14	0.13	0.09	0.00	0.05	0.27	0.20	0.22	0.10	0.10	0.09	0.00	0.00	0.00
"FBgn0000244"	3.37	2.41	2.97	4.41	3.68	4.11	5.88	5.28	5.24	4.41	4.04	3.32	2.43	3.03	3.05
"FBgn0000246"	13.66	15.16	12.71	15.06	16.97	14.04	36.23	36.52	35.52	23.50	19.27	17.89	45.41	43.30	64.53
"FBgn0000247"	4.53	7.23	9.63	3.69	5.03	3.36	1.43	0.57	1.05	2.47	2.35	3.09	3.17	4.43	6.57
"FBgn0000250"	297.67	296.96	327.78	350.62	356.38	370.40	453.27	408.79	438.17	300.45	284.25	304.69	315.85	246.23	363.06
"FBgn0000251"	112.38	121.64	134.22	125.90	126.36	127.41	126.20	106.20	126.77	104.56	111.57	117.15	118.75	109.06	109.69
"FBgn0000253"	748.28	822.36	776.45	841.33	819.73	775.97	1191.54	1185.22	1157.55	742.67	709.57	691.86	623.60	554.89	902.74
"FBgn0000256"	8.23	8.56	8.77	4.08	5.44	3.68	1.88	1.09	1.92	5.85	4.84	6.17	6.69	9.95	9.30
"FBgn0000257"	21.02	20.58	23.29	22.63	23.48	22.28	12.39	10.42	10.80	20.05	21.29	21.75	21.08	21.70	20.64
"FBgn0000259"	228.05	210.65	171.65	245.56	225.48	236.62	34.91	30.65	31.83	209.40	175.02	199.50	213.13	313.02	216.19
"FBgn0000261"	32.91	31.09	36.16	45.40	47.17	48.31	65.18	55.98	60.87	36.40	37.18	39.97	43.53	31.75	45.73
"FBgn0000273"	24.57	33.87	37.51	25.65	28.72	24.95	54.70	40.76	49.48	20.43	18.46	20.89	22.06	23.40	37.32
"FBgn0000274"	1.05	0.95	0.56	1.04	1.20	1.11	2.75	2.38	2.38	1.98	2.21	1.84	0.81	0.97	1.10
"FBgn0000276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000283"	91.82	128.54	146.57	71.52	81.80	69.48	221.52	164.93	195.04	77.94	64.13	68.91	69.93	62.19	129.75
"FBgn0000286"	10.68	14.75	15.56	8.78	9.12	7.87	0.46	0.27	0.46	7.77	7.84	8.51	9.70	14.92	13.24
"FBgn0000287"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
"FBgn0000289"	73.31	84.40	92.78	88.84	96.90	86.46	84.33	64.46	80.47	69.61	62.88	70.32	69.74	65.02	88.12
"FBgn0000299"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
"FBgn0000303"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000307"	24.37	42.85	47.78	15.04	20.47	12.79	67.67	47.63	61.18	15.02	11.23	12.74	15.95	21.54	42.66
"FBgn0000308"	797.86	771.32	682.60	936.23	920.83	923.80	964.47	1157.29	1001.78	914.57	911.04	832.31	864.77	856.68	732.65
"FBgn0000316"	119.76	107.72	113.62	118.53	123.62	128.66	180.48	176.02	164.37	135.06	124.11	118.80	113.54	80.56	120.57
"FBgn0000317"	13.02	22.29	26.33	10.21	12.28	9.52	37.70	24.29	32.98	9.05	6.90	8.49	8.66	9.36	18.82
"FBgn0000318"	520.49	424.68	355.25	391.18	377.75	404.70	476.63	643.32	538.15	589.08	677.24	599.47	613.71	591.01	437.46
"FBgn0000319"	39.11	54.72	57.97	45.66	50.88	45.72	97.79	67.28	89.49	28.50	31.36	36.90	33.30	32.18	61.31
"FBgn0000320"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000326"	27.62	27.70	31.31	31.68	31.65	30.69	47.44	44.35	45.92	32.81	34.32	34.36	30.18	25.63	30.77
"FBgn0000330"	59.48	53.32	55.02	75.98	69.87	75.85	91.80	97.23	88.42	64.39	73.47	70.65	62.75	59.93	54.82
"FBgn0000337"	0.13	0.03	0.04	0.10	0.06	0.03	0.00	0.04	0.00	0.00	0.04	0.04	0.04	0.04	0.00
"FBgn0000339"	197.05	165.13	139.32	182.24	179.88	181.32	206.26	269.88	215.66	236.89	236.15	221.57	231.74	212.75	165.93
"FBgn0000346"	2.84	2.85	3.61	4.41	4.03	4.22	7.13	5.63	5.99	2.88	4.13	3.73	5.67	5.44	7.68
"FBgn0000351"	18.36	17.87	14.09	21.88	18.10	21.60	0.95	0.89	0.63	16.72	16.15	16.62	21.75	29.98	20.16
"FBgn0000352"	23.93	29.56	37.35	21.50	23.94	19.56	50.82	39.93	48.57	19.94	17.72	18.11	19.73	18.08	32.38
"FBgn0000355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000356"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000357"	0.15	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000360"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000370"	219.89	214.75	217.28	171.43	172.42	166.34	344.30	377.03	327.19	313.12	228.20	228.70	232.11	210.40	242.74
"FBgn0000376"	36.11	44.72	55.75	32.80	36.64	29.45	53.88	42.94	55.96	28.94	30.85	32.43	36.28	36.90	51.59
"FBgn0000377"	30.16	31.30	35.11	38.51	36.53	41.48	57.28	51.63	55.30	26.66	32.51	30.23	29.94	25.04	35.62
"FBgn0000382"	19.28	30.32	36.41	15.09	16.99	12.66	35.74	25.46	33.93	13.39	12.07	12.23	12.68	17.74	26.14
"FBgn0000384"	186.22	179.94	156.96	185.95	193.84	173.68	259.59	288.69	254.78	207.98	171.63	182.10	179.21	177.99	197.36
"FBgn0000392"	63.89	88.87	100.75	80.97	85.09	83.33	44.62	31.69	45.26	45.60	45.07	51.34	51.24	65.54	87.10
"FBgn0000394"	10.55	8.45	8.50	15.71	14.39	14.98	3.03	2.43	2.90	16.11	10.39	12.82	16.69	15.55	13.12
"FBgn0000395"	0.00	0.01	0.00	0.01	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00
"FBgn0000404"	868.63	899.59	922.99	772.53	815.34	752.86	797.45	636.82	690.78	895.47	761.99	763.00	705.76	487.46	936.09
"FBgn0000405"	1607.89	1768.76	1958.53	1644.97	1780.89	1681.72	2282.75	1848.38	2044.55	1692.86	1559.44	1629.14	1537.24	1135.70	1884.81
"FBgn0000406"	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09	0.05	0.05	0.73	0.36	0.53
"FBgn0000411"	0.00	0.00	0.21	1.33	0.53	2.93	0.00	0.16	0.10	0.09	0.04	0.03	0.04	0.05	0.03
"FBgn0000412"	247.00	243.19	257.38	283.84	265.49	286.95	376.81	375.09	362.70	253.52	274.39	247.64	232.93	178.20	266.99
"FBgn0000414"	4.96	10.74	13.86	2.66	3.91	1.95	12.87	7.19	12.00	2.96	2.44	3.08	3.87	6.57	10.25
"FBgn0000416"	153.10	199.62	209.72	136.58	147.21	146.37	311.54	210.95	274.46	134.47	119.44	134.57	131.72	116.78	206.09
"FBgn0000422"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000426"	458.61	370.75	322.15	418.95	387.55	447.97	483.02	666.59	554.55	588.67	630.20	547.54	483.36	513.37	329.63
"FBgn0000427"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000439"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000442"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000447"	84.62	83.01	89.30	94.02	91.57	98.39	105.11	124.74	121.19	75.84	92.68	83.24	78.69	92.44	69.21
"FBgn0000448"	0.18	0.26	0.15	0.04	0.10	0.08	0.02	0.03	0.03	0.03	0.06	0.12	0.17	0.20	0.40
"FBgn0000449"	0.00	0.00	0.00	0.03	0.19	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000451"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000454"	136.16	128.05	126.87	152.10	140.92	154.95	12.78	10.31	12.20	99.34	112.12	126.81	110.91	144.50	116.06
"FBgn0000455"	29.11	26.18	26.26	35.93	37.23	40.59	38.61	43.26	42.66	30.97	38.54	35.73	34.72	32.70	35.11
"FBgn0000459"	0.00	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000463"	14.67	25.42	31.43	10.59	13.74	9.57	28.96	19.25	26.29	11.01	8.31	9.86	12.17	14.00	22.59
"FBgn0000464"	3.52	6.72	8.64	1.72	2.66	1.51	12.13	7.03	10.09	3.06	1.79	2.27	2.95	3.57	6.81
"FBgn0000473"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000477"	0.00	0.00	0.00	0.10	0.19	0.38	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBgn0000479"	14.04	18.91	19.01	12.37	14.83	10.69	14.04	9.16	14.33	9.01	9.14	10.61	11.16	13.04	17.23
"FBgn0000482"	11.21	11.76	14.59	14.55	13.23	15.76	22.86	18.55	24.49	10.32	12.18	12.86	10.25	9.20	12.48
"FBgn0000489"	0.00	0.00	0.00	0.00	0.11	0.28	0.00	0.00	0.00	0.03	0.00	0.00	0.07	0.04	0.00
"FBgn0000490"	0.00	0.00	0.00	0.04	0.02	0.12	0.02	0.07	0.07	0.06	0.00	0.00	0.02	0.00	0.05
"FBgn0000492"	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000499"	39.28	42.75	48.66	48.88	46.23	46.35	61.73	53.27	59.92	38.27	39.64	39.69	46.36	38.49	46.99
"FBgn0000500"	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.16	0.17	0.31	0.00	0.00	0.00
"FBgn0000504"	0.04	0.03	0.02	0.02	0.00	0.00	0.04	0.14	0.06	0.02	0.00	0.02	0.02	0.00	0.00
"FBgn0000520"	26.68	29.23	29.47	35.80	33.31	37.76	17.72	18.76	20.58	22.00	27.50	22.41	25.83	32.03	25.51
"FBgn0000524"	41.72	45.74	50.26	39.72	43.01	37.43	10.92	5.51	10.02	31.35	30.32	34.81	38.80	39.08	46.74
"FBgn0000527"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000529"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000533"	60.09	60.72	58.18	79.14	77.02	82.40	79.55	75.74	79.71	65.24	71.36	76.83	82.74	68.72	72.61
"FBgn0000535"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00
"FBgn0000536"	58.19	60.29	53.45	71.38	71.27	70.45	66.94	61.86	59.19	74.51	65.40	75.19	66.67	62.33	73.52
"FBgn0000541"	34.65	62.84	68.72	26.11	32.91	22.53	75.75	51.83	69.22	23.32	17.30	20.34	23.67	29.65	58.33
"FBgn0000542"	0.00	0.02	0.03	0.02	0.04	0.04	0.00	0.00	0.01	0.02	0.02	0.00	0.01	0.01	0.01
"FBgn0000543"	28.56	30.86	30.14	38.77	35.90	39.13	14.32	13.89	14.81	23.95	26.13	26.90	24.30	28.86	29.02
"FBgn0000546"	20.66	27.97	34.59	17.06	21.79	16.11	37.85	29.00	34.09	16.43	13.53	14.09	18.03	16.08	27.43
"FBgn0000547"	23.95	42.73	43.84	13.67	17.95	11.40	64.63	41.57	58.32	18.22	12.42	13.36	17.25	17.56	39.37
"FBgn0000551"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000552"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000557"	0.00	0.02	0.05	0.00	0.02	0.14	0.03	0.00	0.03	0.10	0.05	0.05	0.05	0.03	0.02
"FBgn0000559"	1691.82	1868.81	2089.46	1822.90	1913.47	1925.74	3261.65	2698.47	3084.29	1663.78	1539.56	1638.12	1562.55	1283.71	1978.54
"FBgn0000560"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000562"	26.24	34.50	36.41	27.60	31.49	25.07	5.12	2.65	4.64	15.72	14.90	17.04	16.81	21.67	26.53
"FBgn0000564"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000565"	11.79	11.20	7.31	13.04	13.46	16.64	0.55	1.13	0.37	13.17	11.37	10.68	14.65	22.20	15.92
"FBgn0000566"	160.19	150.14	150.86	186.63	179.52	196.72	181.75	196.59	178.75	177.47	173.69	166.36	170.30	150.38	145.64
"FBgn0000567"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02
"FBgn0000568"	0.75	1.40	1.08	0.52	0.56	0.34	0.07	0.05	0.13	0.22	0.28	0.30	0.96	1.70	2.18
"FBgn0000575"	43.54	43.82	39.58	44.38	45.31	43.87	31.32	29.40	28.37	50.83	38.70	41.55	45.85	47.02	40.11
"FBgn0000576"	0.00	0.00	0.00	0.00	0.17	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000577"	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.03	0.00	0.03	0.00	0.03	0.00	0.00	0.00
"FBgn0000578"	12.78	20.31	23.63	9.20	12.53	9.15	27.00	18.57	26.64	8.36	7.86	7.96	11.89	13.35	20.11
"FBgn0000579"	1077.09	1108.62	1121.77	1037.13	997.62	1053.75	228.39	170.40	226.96	1068.43	1228.70	1169.89	1144.05	1270.04	928.60
"FBgn0000581"	13.39	26.95	35.17	8.28	10.90	5.70	19.34	12.38	18.20	6.90	5.02	6.00	8.74	15.87	23.07
"FBgn0000588"	81.21	79.14	79.83	106.96	99.70	107.60	28.60	24.50	27.36	81.31	85.13	80.14	107.07	110.70	96.55
"FBgn0000591"	0.00	0.00	0.10	0.09	0.00	0.10	0.12	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.08
"FBgn0000592"	0.09	0.04	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.04	0.07	0.00	0.04	0.00
"FBgn0000594"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000606"	0.06	0.36	0.34	0.09	0.32	0.83	0.00	0.12	0.23	0.31	0.27	0.19	0.46	0.22	0.41
"FBgn0000611"	102.18	102.32	109.15	107.18	109.17	106.88	173.63	164.31	159.41	92.85	89.69	80.00	86.72	67.86	110.54
"FBgn0000615"	187.83	195.83	167.03	204.80	200.64	217.93	15.47	13.39	15.95	149.37	143.66	144.08	202.41	286.51	189.70
